Sample DNA ID,Species,Location,Collection Site,Collection Date,Sample Type,Migration Category,Filtered RAD Alignments,Filtered RAD Alignments (single-end),File ID,Notes
DNAA025_A01,Chinook,Salmon River,South Fork,2013/07/25,Adult Carcass,Premature,3839,1861,Ch_Sal_P_25_A01,
DNAA025_A02,Chinook,Salmon River,South Fork,2012/10/04,Adult Carcass,Premature,131646,64238,Ch_Sal_P_25_A02,
DNAA025_A03,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,292,146,Ch_Sal_P_25_A03,
DNAA025_A04,Chinook,Salmon River,Mainstem,2011/11/17,Adult Carcass,Mature,62720,30800,Ch_Sal_M_25_A04,
DNAA025_A05,Chinook,Salmon River,Mainstem,2012/11/15,Adult Carcass,Mature,1475852,725281,Ch_Sal_M_25_A05,
DNAA025_A06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,357285,180043,Ch_Nor_P_25_A06,
DNAA025_A07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,174617,88278,Ch_Nor_P_25_A07,
DNAA025_A08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,325357,163673,Ch_Nor_P_25_A08,
DNAA025_A09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,249490,126103,Ch_Sou_M_25_A09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_A10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,48723,24001,Ch_Sou_M_25_A10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_A11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,305837,154410,Ch_Sou_M_25_A11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_A12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,152577,74084,Ch_Sou_P_25_A12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA025_B01,Chinook,Salmon River,South Fork,2013/07/24,Adult Carcass,Premature,227468,111894,Ch_Sal_P_25_B01,
DNAA025_B02,Chinook,Salmon River,South Fork,2012/10/08,Adult Carcass,Premature,23531,11250,Ch_Sal_P_25_B02,
DNAA025_B03,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,1048,495,Ch_Sal_P_25_B03,
DNAA025_B04,Chinook,Salmon River,Mainstem,2011/11/17,Adult Carcass,Mature,260454,127688,Ch_Sal_M_25_B04,
DNAA025_B05,Chinook,Salmon River,Mainstem,2012/11/16,Adult Carcass,Mature,476718,235264,Ch_Sal_M_25_B05,
DNAA025_B06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,14929,7408,Ch_Nor_P_25_B06,
DNAA025_B07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,235024,119089,Ch_Nor_P_25_B07,
DNAA025_B08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,11384,5643,Ch_Nor_P_25_B08,
DNAA025_B09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,577393,284267,Ch_Sou_M_25_B09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_B10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,86712,42783,Ch_Sou_M_25_B10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_B11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,393528,194336,Ch_Sou_M_25_B11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_B12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,284395,136316,Ch_Sou_P_25_B12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA025_C01,Chinook,Salmon River,South Fork,2012/10/04,Adult Carcass,Premature,14409,7021,Ch_Sal_P_25_C01,
DNAA025_C02,Chinook,Salmon River,South Fork,2012/10/08,Adult Carcass,Premature,4085,2017,Ch_Sal_P_25_C02,
DNAA025_C03,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,371141,183895,Ch_Sal_P_25_C03,
