Sample DNA ID,Species,Location,Collection Site,Collection Date,Sample Type,Migration Category,Filtered RAD Alignments,Filtered RAD Alignments (single-end),File ID,Notes
DNAA025_C04,Chinook,Salmon River,Mainstem,2011/11/22,Adult Carcass,Mature,53909,26236,Ch_Sal_M_25_C04,
DNAA025_C05,Chinook,Salmon River,Mainstem,2012/11/16,Adult Carcass,Mature,123103,60925,Ch_Sal_M_25_C05,
DNAA025_C06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,252737,129047,Ch_Nor_P_25_C06,
DNAA025_C07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,294423,149479,Ch_Nor_P_25_C07,
DNAA025_C08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,186310,94259,Ch_Nor_P_25_C08,
DNAA025_C09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,233048,117933,Ch_Sou_M_25_C09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_C10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,172643,85190,Ch_Sou_M_25_C10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_C11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,482117,239282,Ch_Sou_M_25_C11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_C12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,538,263,Ch_Sou_P_25_C12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA025_D01,Chinook,Salmon River,South Fork,2012/10/04,Adult Carcass,Premature,21974,10754,Ch_Sal_P_25_D01,
DNAA025_D02,Chinook,Salmon River,South Fork,2012/10/11,Adult Carcass,Premature,51605,25492,Ch_Sal_P_25_D02,
DNAA025_D03,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,91276,45096,Ch_Sal_P_25_D03,
DNAA025_D04,Chinook,Salmon River,Mainstem,2011/11/22,Adult Carcass,Mature,660,348,Ch_Sal_M_25_D04,
DNAA025_D05,Chinook,Salmon River,Mainstem,2012/11/16,Adult Carcass,Mature,50900,24272,Ch_Sal_M_25_D05,
DNAA025_D06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,13619,6782,Ch_Nor_P_25_D06,
DNAA025_D07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,327863,165376,Ch_Nor_P_25_D07,
DNAA025_D08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,210901,106494,Ch_Nor_P_25_D08,
DNAA025_D09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,214941,105502,Ch_Sou_M_25_D09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_D10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,99950,49264,Ch_Sou_M_25_D10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_D11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,381191,189569,Ch_Sou_M_25_D11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_D12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,98801,46223,Ch_Sou_P_25_D12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA025_E01,Chinook,Salmon River,South Fork,2012/10/04,Adult Carcass,Premature,57772,28576,Ch_Sal_P_25_E01,
DNAA025_E02,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,15090,7365,Ch_Sal_P_25_E02,
DNAA025_E03,Chinook,Salmon River,Mainstem,2011/11/17,Adult Carcass,Mature,1312,638,Ch_Sal_M_25_E03,
DNAA025_E04,Chinook,Salmon River,Mainstem,2012/11/13,Adult Carcass,Mature,240,123,Ch_Sal_M_25_E04,
DNAA025_E05,Chinook,Salmon River,Mainstem,2012/11/19,Adult Carcass,Mature,3612,1814,Ch_Sal_M_25_E05,
DNAA025_E06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,241189,122821,Ch_Nor_P_25_E06,
DNAA025_E07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,166561,84338,Ch_Nor_P_25_E07,
DNAA025_E08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,344849,172932,Ch_Nor_P_25_E08,
DNAA025_E09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,331708,166250,Ch_Sou_M_25_E09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_E10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,277217,139125,Ch_Sou_M_25_E10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_E11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,293084,147342,Ch_Sou_M_25_E11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_E12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,9961,4490,Ch_Sou_P_25_E12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA025_F01,Chinook,Salmon River,South Fork,2012/10/04,Adult Carcass,Premature,12739,6127,Ch_Sal_P_25_F01,
DNAA025_F02,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,4342,2140,Ch_Sal_P_25_F02,
DNAA025_F03,Chinook,Salmon River,Mainstem,2011/11/17,Adult Carcass,Mature,82305,40823,Ch_Sal_M_25_F03,
DNAA025_F04,Chinook,Salmon River,Mainstem,2012/11/13,Adult Carcass,Mature,6527,3175,Ch_Sal_M_25_F04,
DNAA025_F05,Chinook,Salmon River,Mainstem,2012/11/19,Adult Carcass,Mature,1093,563,Ch_Sal_M_25_F05,
DNAA025_F06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,202002,102192,Ch_Nor_P_25_F06,
DNAA025_F07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,34155,17030,Ch_Nor_P_25_F07,
DNAA025_F08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,205778,104414,Ch_Nor_P_25_F08,
DNAA025_F09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,332457,167904,Ch_Sou_M_25_F09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_F10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,263538,132483,Ch_Sou_M_25_F10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_F11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,352121,176021,Ch_Sou_M_25_F11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_F12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,576,269,Ch_Sou_P_25_F12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA025_G01,Chinook,Salmon River,South Fork,2012/10/04,Adult Carcass,Premature,46334,22893,Ch_Sal_P_25_G01,
DNAA025_G02,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,229738,113707,Ch_Sal_P_25_G02,
DNAA025_G03,Chinook,Salmon River,Mainstem,2011/11/17,Adult Carcass,Mature,213533,105674,Ch_Sal_M_25_G03,
DNAA025_G04,Chinook,Salmon River,Mainstem,2012/11/13,Adult Carcass,Mature,303575,147467,Ch_Sal_M_25_G04,
DNAA025_G05,Chinook,Salmon River,Mainstem,2012/11/19,Adult Carcass,Mature,8870,4253,Ch_Sal_M_25_G05,
DNAA025_G06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,295279,150216,Ch_Nor_P_25_G06,
DNAA025_G07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,356952,180681,Ch_Nor_P_25_G07,
DNAA025_G08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,301039,151713,Ch_Nor_P_25_G08,
DNAA025_G09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,398711,197405,Ch_Sou_M_25_G09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_G10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,384397,192895,Ch_Sou_M_25_G10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_G11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,346470,173663,Ch_Sou_M_25_G11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_G12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,1317,650,Ch_Sou_P_25_G12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA025_H01,Chinook,Salmon River,South Fork,2012/10/04,Adult Carcass,Premature,278,147,Ch_Sal_P_25_H01,
DNAA025_H02,Chinook,Salmon River,South Fork,2012/10/15,Adult Carcass,Premature,156198,76976,Ch_Sal_P_25_H02,
DNAA025_H03,Chinook,Salmon River,Mainstem,2011/11/17,Adult Carcass,Mature,574218,283143,Ch_Sal_M_25_H03,
DNAA025_H04,Chinook,Salmon River,Mainstem,2012/11/13,Adult Carcass,Mature,3678,1755,Ch_Sal_M_25_H04,
DNAA025_H05,Chinook,Salmon River,Mainstem,2012/11/26,Adult Carcass,Mature,85343,42318,Ch_Sal_M_25_H05,
DNAA025_H06,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,21500,10706,Ch_Nor_P_25_H06,
DNAA025_H07,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,30519,15215,Ch_Nor_P_25_H07,
DNAA025_H08,Chinook,North Umpqua River,Winchester Dam,2013/05/14,Live Adult,Premature,299420,152150,Ch_Nor_P_25_H08,
DNAA025_H09,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,34214,16735,Ch_Sou_M_25_H09,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_H10,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/25,Live Adult,Mature,2871,1393,Ch_Sou_M_25_H10,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_H11,Chinook,South Umpqua River,Happy Valley Boat Ramp Trap,2011/10/19,Live Adult,Mature,485158,240292,Ch_Sou_M_25_H11,"Collection date is spawning at Rock Creek Hatchery, not trap date"
DNAA025_H12,Chinook,South Umpqua River,Above Tiller,n/a,Adult Carcass,Premature,266793,127279,Ch_Sou_P_25_H12,Collected during spawning surveys in September and October of 2009 and 2012
DNAA034_A01,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,646757,326287,Ch_Tri_M_34_A01,
DNAA034_A02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,531199,268065,Ch_Tri_M_34_A02,
DNAA034_A03,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,390974,197054,Ch_Tri_M_34_A03,
DNAA034_A04,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,491090,248355,Ch_Tri_M_34_A04,
DNAA034_B02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,431885,217990,Ch_Tri_M_34_B02,
DNAA034_B03,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,599829,302754,Ch_Tri_M_34_B03,
DNAA034_C01,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,564461,284856,Ch_Tri_M_34_C01,
DNAA034_C02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,586873,295753,Ch_Tri_M_34_C02,
DNAA034_C03,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,579024,292000,Ch_Tri_M_34_C03,
DNAA034_C04,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,96315,48601,Ch_Tri_M_34_C04,
DNAA034_D01,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,379823,191286,Ch_Tri_M_34_D01,
DNAA034_D02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,432480,218182,Ch_Tri_M_34_D02,
DNAA034_D03,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,232000,116878,Ch_Tri_M_34_D03,
DNAA034_D04,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,456473,230332,Ch_Tri_M_34_D04,
DNAA034_E01,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,624248,314880,Ch_Tri_M_34_E01,
DNAA034_E02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,670885,338512,Ch_Tri_M_34_E02,
DNAA034_E03,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,633845,319751,Ch_Tri_M_34_E03,
DNAA034_F01,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,562785,283800,Ch_Tri_M_34_F01,
DNAA034_F02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,580258,292843,Ch_Tri_M_34_F02,
DNAA034_F04,Chinook,Trinity River,Trinity River Hatchery,2011/10/27,Live Adult,Mature,549223,277157,Ch_Tri_M_34_F04,
DNAA034_G01,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,636915,321192,Ch_Tri_M_34_G01,
DNAA034_G02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,826295,416736,Ch_Tri_M_34_G02,
DNAA034_G03,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,341257,172016,Ch_Tri_M_34_G03,
DNAA034_G04,Chinook,Trinity River,Trinity River Hatchery,2011/10/27,Live Adult,Mature,620377,312695,Ch_Tri_M_34_G04,
DNAA034_H01,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,558875,281955,Ch_Tri_M_34_H01,
DNAA034_H02,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,624726,315036,Ch_Tri_M_34_H02,
DNAA034_H03,Chinook,Trinity River,Trinity River Hatchery,2011/10/24,Live Adult,Mature,638783,322179,Ch_Tri_M_34_H03,
DNAA034_H04,Chinook,Trinity River,Trinity River Hatchery,2011/10/27,Live Adult,Mature,579256,292230,Ch_Tri_M_34_H04,
DNAA035_A01,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,593960,299674,Ch_Tri_P_35_A01,
DNAA035_A03,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,632533,318854,Ch_Tri_P_35_A03,
DNAA035_A04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,324,162,Ch_Tri_P_35_A04,
DNAA035_B01,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,493729,249198,Ch_Tri_P_35_B01,
DNAA035_B02,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,72851,36787,Ch_Tri_P_35_B02,
DNAA035_B03,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,578242,291826,Ch_Tri_P_35_B03,
DNAA035_B04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,531327,267852,Ch_Tri_P_35_B04,
DNAA035_C01,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,384566,193862,Ch_Tri_P_35_C01,
DNAA035_C02,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,545930,275426,Ch_Tri_P_35_C02,
DNAA035_C03,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,624461,315064,Ch_Tri_P_35_C03,
DNAA035_C04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,592285,298639,Ch_Tri_P_35_C04,
DNAA035_D01,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,239502,121332,Ch_Tri_P_35_D01,
DNAA035_D02,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,114901,58031,Ch_Tri_P_35_D02,
DNAA035_D03,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,353845,179036,Ch_Tri_P_35_D03,
DNAA035_D04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,572766,289199,Ch_Tri_P_35_D04,
DNAA035_E01,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,83648,42172,Ch_Tri_P_35_E01,
DNAA035_E02,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,550203,277708,Ch_Tri_P_35_E02,
DNAA035_E03,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,553490,278864,Ch_Tri_P_35_E03,
DNAA035_E04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,576688,290877,Ch_Tri_P_35_E04,
DNAA035_F01,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,569850,287487,Ch_Tri_P_35_F01,
DNAA035_F02,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,575236,290253,Ch_Tri_P_35_F02,
DNAA035_F03,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,242956,122643,Ch_Tri_P_35_F03,
DNAA035_F04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,220,110,Ch_Tri_P_35_F04,
DNAA035_G02,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,531509,268160,Ch_Tri_P_35_G02,
DNAA035_G03,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,301704,152328,Ch_Tri_P_35_G03,
DNAA035_G04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,257622,129878,Ch_Tri_P_35_G04,
DNAA035_H01,Chinook,Trinity River,Trinity River Hatchery,2011/09/06,Live Adult,Premature,304596,153582,Ch_Tri_P_35_H01,
DNAA035_H02,Chinook,Trinity River,Trinity River Hatchery,2011/09/08,Live Adult,Premature,501900,252808,Ch_Tri_P_35_H02,
DNAA035_H03,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,307878,155392,Ch_Tri_P_35_H03,
DNAA035_H04,Chinook,Trinity River,Trinity River Hatchery,2011/09/12,Live Adult,Premature,321580,162117,Ch_Tri_P_35_H04,
DNAA051_A01,Chinook,Siletz River,Ojalla Bridge,2014/10/19,Live Adult,Mature,456406,230395,Ch_Sil_M_51_A01,
DNAA051_A02,Chinook,Rogue River,Near Huntley Park,2014/09/22,Live Adult,Mature,281942,142477,Ch_Rog_M_51_A02,
DNAA051_A03,Chinook,Rogue River,Near Huntley Park,2014/09/22,Live Adult,Mature,311583,157245,Ch_Rog_M_51_A03,
DNAA051_A04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,411848,207884,Ch_Rog_P_51_A04,
DNAA051_A05,Chinook,Rogue River,Upper Rogue,2014/10/06,Adult Carcass,Premature,4899,2460,Ch_Rog_P_51_A05,
DNAA051_A06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,319172,160958,Ch_Puy_M_51_A06,
DNAA051_A07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,343934,173172,Ch_Puy_M_51_A07,
DNAA051_A08,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,229124,115485,Ch_Puy_M_51_A08,
DNAA051_A09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,410612,207002,Ch_Puy_P_51_A09,
DNAA051_A10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,277087,139859,Ch_Puy_P_51_A10,
DNAA051_A11,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,340201,171555,Ch_Puy_P_51_A11,
DNAA051_A12,Chinook,Nooksack River,Skookum Creek Hatchery,2014/10/08,Live Adult,Premature,329756,166601,Ch_Noo_P_51_A12,
DNAA051_B01,Chinook,Siletz River,Ojalla Bridge,2014/10/19,Live Adult,Mature,427594,216065,Ch_Sil_M_51_B01,
DNAA051_B02,Chinook,Rogue River,Near Huntley Park,2014/09/19,Live Adult,Mature,379066,191270,Ch_Rog_M_51_B02,
DNAA051_B03,Chinook,Rogue River,Near Huntley Park,2014/09/24,Live Adult,Mature,362006,182800,Ch_Rog_M_51_B03,
DNAA051_B04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,464171,234249,Ch_Rog_P_51_B04,
DNAA051_B05,Chinook,Rogue River,Upper Rogue,2014/09/29,Adult Carcass,Premature,101841,51495,Ch_Rog_P_51_B05,
DNAA051_B06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,22908,11585,Ch_Puy_M_51_B06,
DNAA051_B07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,322811,163041,Ch_Puy_M_51_B07,
DNAA051_B08,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,324646,163931,Ch_Puy_M_51_B08,
DNAA051_B09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,273841,138020,Ch_Puy_P_51_B09,
DNAA051_B10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,331729,167286,Ch_Puy_P_51_B10,
DNAA051_B11,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,292487,147799,Ch_Puy_P_51_B11,
DNAA051_B12,Chinook,Nooksack River,Skookum Creek Hatchery,2014/10/08,Live Adult,Premature,285048,143962,Ch_Noo_P_51_B12,
DNAA051_C01,Chinook,Siletz River,Ojalla Bridge,2014/11/09,Live Adult,Mature,290615,146767,Ch_Sil_M_51_C01,
DNAA051_C02,Chinook,Rogue River,Near Huntley Park,2014/09/19,Live Adult,Mature,345980,174846,Ch_Rog_M_51_C02,
DNAA051_C03,Chinook,Rogue River,Near Huntley Park,2014/09/24,Live Adult,Mature,343394,173225,Ch_Rog_M_51_C03,
DNAA051_C04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,495630,250199,Ch_Rog_P_51_C04,
DNAA051_C05,Chinook,Rogue River,Upper Rogue,2014/09/29,Adult Carcass,Premature,4810,2442,Ch_Rog_P_51_C05,
DNAA051_C06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,343634,173408,Ch_Puy_M_51_C06,
DNAA051_C07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,366721,184931,Ch_Puy_M_51_C07,
DNAA051_C08,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,278860,140550,Ch_Puy_M_51_C08,
