sample,pop
Koktuli10_0031,Koktuli
Koktuli10_0032,Koktuli
Koktuli10_0033,Koktuli
Koktuli10_0034,Koktuli
Koktuli10_0036,Koktuli
Koktuli10_0037,Koktuli
Koktuli10_0040,Koktuli
Koktuli10_0042,Koktuli
Koktuli10_0044,Koktuli
Koktuli10_0045,Koktuli
Koktuli10_0046,Koktuli
Koktuli10_0048,Koktuli
Koktuli10_0049,Koktuli
Koktuli10_0053,Koktuli
Koktuli10_0057,Koktuli
Koktuli10_0059,Koktuli
Koktuli10_0062,Koktuli
Koktuli10_0063,Koktuli
Koktuli10_0064,Koktuli
Koktuli10_0065,Koktuli
Koktuli10_0066,Koktuli
Koktuli10_0067,Koktuli
Koktuli10_0069,Koktuli
Koktuli10_0070,Koktuli
Koktuli10_0071,Koktuli
Koktuli10_0075,Koktuli
Koktuli10_0077,Koktuli
Koktuli10_0078,Koktuli
Koktuli10_0081,Koktuli
Koktuli10_0082,Koktuli
Koktuli10_0084,Koktuli
Koktuli10_0088,Koktuli
Koktuli10_0093,Koktuli
Tubutulik09_0001,Tubutulik
Tubutulik09_0002,Tubutulik
Tubutulik09_0003,Tubutulik
Tubutulik09_0004,Tubutulik
Tubutulik09_0005,Tubutulik
Tubutulik09_0006,Tubutulik
Tubutulik09_0007,Tubutulik
Tubutulik09_0008,Tubutulik
Tubutulik09_0009,Tubutulik
Tubutulik09_0010,Tubutulik
Tubutulik09_0011,Tubutulik
Tubutulik09_0012,Tubutulik
Tubutulik09_0013_combo,Tubutulik
Tubutulik09_0014,Tubutulik
Tubutulik09_0015,Tubutulik
Tubutulik09_0016,Tubutulik
Tubutulik09_0017,Tubutulik
Tubutulik09_0018,Tubutulik
Tubutulik09_0019,Tubutulik
Tubutulik09_0020,Tubutulik
Tubutulik09_0021,Tubutulik
Tubutulik09_0022,Tubutulik
Tubutulik09_0023,Tubutulik
Tubutulik09_0024,Tubutulik
Tubutulik09_0025,Tubutulik
Tubutulik09_0026,Tubutulik
Tubutulik09_0027,Tubutulik
Tubutulik09_0028,Tubutulik
Tubutulik09_0029,Tubutulik
Tubutulik09_0030,Tubutulik
Tubutulik09_0031,Tubutulik
Tubutulik09_0032_combo,Tubutulik
Tubutulik09_0033,Tubutulik
Tubutulik09_0034,Tubutulik
Tubutulik09_0035,Tubutulik
Tubutulik09_0036,Tubutulik
Tubutulik09_0037_combo,Tubutulik
Tubutulik09_0038,Tubutulik
Tubutulik09_0039,Tubutulik
Tubutulik09_0040,Tubutulik
Tubutulik09_0042,Tubutulik
Tubutulik09_0043_combo,Tubutulik
Tubutulik09_0044,Tubutulik
Tubutulik09_0045,Tubutulik
Tubutulik09_0046,Tubutulik
Tubutulik09_0047,Tubutulik
Tubutulik09_0048,Tubutulik
Tubutulik09_0050,Tubutulik
Tubutulik09_0051,Tubutulik
Tubutulik09_0052,Tubutulik
Tubutulik09_0053,Tubutulik
Tubutulik09_0054,Tubutulik
Tubutulik09_0055,Tubutulik
Tubutulik09_0056,Tubutulik
Tubutulik09_0057,Tubutulik
Tubutulik09_0058,Tubutulik
