sample,pop
GEOx005,GEO
GEOx006,GEO
GEOx007,GEO
GEOx008,GEO
GEOx009,GEO
GEOx010,GEO
GEOx011,GEO
GEOx012,GEO
GEOx013,GEO
GEOx014,GEO
GEOx015,GEO
GEOx016,GEO
GEOx017,GEO
GEOx018,GEO
GEOx019,GEO
GEOx020,GEO
GEOx021,GEO
GEOx022,GEO
GEOx023,GEO
GEOx024,GEO
GEOx025,GEO
GEOx026,GEO
GEOx027,GEO
GEOx028,GEO
GEOx029,GEO
GEOx030,GEO
GEOx031,GEO
GEOx032,GEO
GEOx033,GEO
GEOx034,GEO
GEOx035,GEO
GEOx036,GEO
GEOx037,GEO
GEOx038,GEO
GEOx039,GEO
GEOx040,GEO
GEOx041,GEO
GEOx042,GEO
GEOx043,GEO
GEOx044,GEO
GEOx045,GEO
GEOx046,GEO
GEOx047,GEO
IMNx001,IMN
IMNx002,IMN
IMNx003,IMN
IMNx004,IMN
IMNx005,IMN
IMNx006,IMN
IMNx007,IMN
IMNx008,IMN
IMNx009,IMN
IMNx010,IMN
IMNx011,IMN
IMNx012,IMN
IMNx013,IMN
IMNx014,IMN
IMNx015,IMN
IMNx016,IMN
IMNx017,IMN
IMNx018,IMN
IMNx019,IMN
IMNx020,IMN
IMNx021,IMN
IMNx022,IMN
IMNx023,IMN
IMNx024,IMN
IMNx025,IMN
IMNx026,IMN
IMNx027,IMN
IMNx028,IMN
IMNx029,IMN
IMNx030,IMN
IMNx031,IMN
IMNx032,IMN
IMNx033,IMN
IMNx034,IMN
IMNx035,IMN
IMNx036,IMN
IMNx037,IMN
IMNx038,IMN
IMNx039,IMN
IMNx040,IMN
IMNx041,IMN
IMNx042,IMN
IMNx043,IMN
IMNx044,IMN
IMNx045,IMN
IMNx046,IMN
IMNx047,IMN
IMNx048,IMN
JDRx001,JDR
JDRx002,JDR
JDRx003,JDR
JDRx004,JDR
JDRx005,JDR
JDRx006,JDR
JDRx007,JDR
JDRx008,JDR
JDRx009,JDR
JDRx010,JDR
JDRx011,JDR
JDRx012,JDR
JOCx001,JOC
JOCx002,JOC
JOCx003,JOC
JOCx004,JOC
JOCx005,JOC
JOCx006,JOC
JOCx007,JOC
JOCx008,JOC
JOCx009,JOC
JOCx010,JOC
JOCx011,JOC
JOCx012,JOC
JOCx013,JOC
JOCx014,JOC
JOCx015,JOC
JOCx016,JOC
JOCx017,JOC
JOCx018,JOC
JOCx019,JOC
JOCx020,JOC
JOCx021,JOC
JOCx022,JOC
JOCx023,JOC
JOCx024,JOC
JOCx025,JOC
JOCx026,JOC
JOCx027,JOC
JOCx028,JOC
JOCx029,JOC
JOCx030,JOC
JOCx031,JOC
JOCx032,JOC
JOCx033,JOC
JOCx034,JOC
JOCx035,JOC
JOCx036,JOC
JOCx037,JOC
JOCx038,JOC
JOCx039,JOC
JOCx040,JOC
JOCx041,JOC
JOCx042,JOC
JOCx043,JOC
JOCx044,JOC
JOCx045,JOC
JOCx046,JOC
JOCx047,JOC
JOCx048,JOC
JOCx049,JOC
JOCx050,JOC
JOCx051,JOC
JOCx052,JOC
JOCx053,JOC
JOCx054,JOC
JOCx055,JOC
JOCx056,JOC
JOCx057,JOC
JOCx058,JOC
JOCx059,JOC
JOCx060,JOC
JOCx061,JOC
JOCx062,JOC
JOCx063,JOC
JOCx064,JOC
JOCx065,JOC
JOCx066,JOC
JOCx067,JOC
JOCx068,JOC
KLAx001,KLA
KLAx002,KLA
KLAx003,KLA
KLAx004,KLA
KLAx005,KLA
KLAx006,KLA
KLAx007,KLA
KLAx008,KLA
KLAx009,KLA
KLAx010,KLA
KLAx011,KLA
KLAx012,KLA
KLAx013,KLA
KLAx014,KLA
KLAx015,KLA
KLAx016,KLA
KLAx017,KLA
KLAx018,KLA
KLAx019,KLA
KLAx020,KLA
KLAx021,KLA
KLAx022,KLA
KLAx023,KLA
KLAx024,KLA
KLAx025,KLA
KLAx026,KLA
KLAx027,KLA
KLAx028,KLA
KLAx029,KLA
KLAx030,KLA
KLAx031,KLA
KLAx032,KLA
KLAx033,KLA
KLAx034,KLA
KLAx035,KLA
KLAx036,KLA
KLAx037,KLA
KLAx038,KLA
KARx001,KAR
KARx002,KAR
KARx003,KAR
KARx004,KAR
KARx005,KAR
KARx006,KAR
KARx007,KAR
KARx008,KAR
KARx009,KAR
KARx010,KAR
KARx011,KAR
KARx012,KAR
KARx013,KAR
KARx014,KAR
KARx015,KAR
KARx016,KAR
KARx017,KAR
KARx018,KAR
KARx019,KAR
KARx020,KAR
KARx021,KAR
KARx022,KAR
KARx023,KAR
KARx024,KAR
KARx025,KAR
KARx026,KAR
KARx027,KAR
KARx028,KAR
KARx029,KAR
KARx030,KAR
KARx031,KAR
KARx032,KAR
KARx033,KAR
KARx034,KAR
KARx035,KAR
KARx036,KAR
KARx037,KAR
KARx038,KAR
KARx039,KAR
KARx040,KAR
KARx041,KAR
KNKx001,KNK
KNKx002,KNK
KNKx003,KNK
KNKx004,KNK
KNKx005,KNK
KNKx006,KNK
KNKx007,KNK
KNKx008,KNK
KNKx009,KNK
KNKx010,KNK
KNKx011,KNK
KNKx012,KNK
KNKx013,KNK
KNKx014,KNK
KNKx015,KNK
KNKx016,KNK
KNKx017,KNK
KNKx018,KNK
KNKx019,KNK
KNKx020,KNK
KNKx021,KNK
KNKx022,KNK
KNKx023,KNK
KNKx024,KNK
KNKx025,KNK
KNKx026,KNK
